fan_id,nps,satisfaction_game,satisfaction_parking,comments
1,3,5,1,Loved the halftime show
2,9,5,1,Loved the halftime show
3,9,2,4,Seats were a bit tight
4,2,4,2,Would like more promo nights
5,9,2,3,Concessions were solid
6,0,4,1,Lines too long
7,7,4,5,Great atmosphere
8,4,5,5,Loved the halftime show
9,3,1,4,Would like more promo nights
10,7,1,2,Parking too expensive
11,6,3,1,Too crowded at entry
12,1,5,2,Seats were a bit tight
13,0,4,1,Concessions were solid
14,10,1,4,Sound system was amazing
15,3,4,4,Seats were a bit tight
16,7,1,5,Parking too expensive
17,1,1,2,Too crowded at entry
18,2,1,5,Parking too expensive
19,0,5,2,Lines too long
20,0,2,5,Loved the halftime show
21,2,4,3,Concessions were solid
22,10,5,3,Had a great family night
23,4,5,3,Loved the halftime show
24,2,5,3,Had a great family night
25,0,5,1,Too crowded at entry
26,0,5,3,Would like more promo nights
27,7,3,4,Sound system was amazing
28,9,4,4,Great atmosphere
29,10,5,1,Loved the halftime show
30,1,4,3,Concessions were solid
31,2,3,3,Parking too expensive
32,1,3,3,Concessions were solid
33,2,4,5,Too crowded at entry
34,6,1,2,Had a great family night
35,0,2,5,Parking too expensive
36,9,1,2,Great atmosphere
37,7,1,3,Great atmosphere
38,9,1,3,Loved the halftime show
39,9,5,5,Too crowded at entry
40,9,3,5,Would like more promo nights
41,1,1,2,Too crowded at entry
42,2,3,4,Had a great family night
43,8,4,2,Concessions were solid
44,6,2,5,Great atmosphere
45,3,4,5,Concessions were solid
46,9,4,1,Concessions were solid
47,4,5,5,Concessions were solid
48,1,2,1,Great atmosphere
49,10,4,4,Seats were a bit tight
50,7,4,2,Lines too long
51,3,2,2,Had a great family night
52,8,2,1,Seats were a bit tight
53,4,4,2,Had a great family night
54,8,2,5,Parking too expensive
55,3,4,3,Too crowded at entry
56,9,4,1,Too crowded at entry
57,4,5,2,Sound system was amazing
58,8,1,1,Too crowded at entry
59,7,4,1,Great atmosphere
60,2,3,3,Would like more promo nights
61,0,1,5,Loved the halftime show
62,2,1,1,Sound system was amazing
63,3,1,2,Loved the halftime show
64,1,5,4,Had a great family night
65,0,4,1,Loved the halftime show
66,6,5,1,Loved the halftime show
67,7,4,3,Sound system was amazing
68,6,5,5,Parking too expensive
69,4,5,4,Concessions were solid
70,0,3,2,Too crowded at entry
71,6,5,4,Too crowded at entry
72,6,2,2,Great atmosphere
73,8,3,5,Sound system was amazing
74,2,5,2,Great atmosphere
75,8,1,3,Would like more promo nights
76,0,2,3,Would like more promo nights
77,0,2,3,Great atmosphere
78,3,2,3,Sound system was amazing
79,8,3,4,Great atmosphere
80,5,5,5,Too crowded at entry
81,10,5,2,Seats were a bit tight
82,2,1,2,Lines too long
83,0,1,3,Loved the halftime show
84,3,2,3,Lines too long
85,8,1,1,Sound system was amazing
86,2,3,5,Lines too long
87,8,5,4,Would like more promo nights
88,6,2,2,Had a great family night
89,3,1,1,Loved the halftime show
90,2,3,1,Concessions were solid
91,9,3,2,Sound system was amazing
92,4,1,4,Loved the halftime show
93,4,5,1,Lines too long
94,2,1,1,Would like more promo nights
95,8,2,5,Parking too expensive
96,3,1,4,Seats were a bit tight
97,10,3,1,Concessions were solid
98,4,1,4,Seats were a bit tight
99,3,5,2,Loved the halftime show
100,4,4,3,Would like more promo nights
101,6,1,1,Would like more promo nights
102,8,5,5,Lines too long
103,6,5,2,Too crowded at entry
104,4,3,4,Lines too long
105,9,5,2,Too crowded at entry
106,9,5,1,Too crowded at entry
107,6,5,4,Concessions were solid
108,9,5,3,Lines too long
109,4,2,2,Parking too expensive
110,2,2,1,Great atmosphere
111,6,3,5,Great atmosphere
112,10,1,4,Lines too long
113,10,5,2,Lines too long
114,1,1,2,Seats were a bit tight
115,8,1,3,Concessions were solid
116,9,3,3,Lines too long
117,9,5,5,Seats were a bit tight
118,0,5,5,Too crowded at entry
119,5,4,1,Would like more promo nights
120,6,1,1,Would like more promo nights
121,7,1,5,Too crowded at entry
122,9,2,5,Sound system was amazing
123,8,4,4,Seats were a bit tight
124,1,2,3,Seats were a bit tight
125,10,2,1,Too crowded at entry
126,9,2,3,Parking too expensive
127,1,3,3,Had a great family night
128,4,3,5,Loved the halftime show
129,4,2,4,Too crowded at entry
130,5,4,2,Lines too long
131,2,1,4,Lines too long
132,7,4,4,Concessions were solid
133,0,5,3,Too crowded at entry
134,5,3,4,Concessions were solid
135,3,1,1,Too crowded at entry
136,0,1,3,Seats were a bit tight
137,6,5,1,Loved the halftime show
138,8,5,2,Seats were a bit tight
139,3,2,3,Had a great family night
140,3,3,2,Would like more promo nights
141,5,3,3,Great atmosphere
142,2,4,5,Too crowded at entry
143,5,2,4,Had a great family night
144,6,2,5,Would like more promo nights
145,10,2,2,Sound system was amazing
146,9,2,4,Loved the halftime show
147,9,3,3,Concessions were solid
148,2,3,4,Concessions were solid
149,6,2,1,Seats were a bit tight
150,2,4,4,Lines too long
